    SONGNAME                ARTIST            DURATION
1.  Moonlight_Sonata        Beethoven          2:52
2.  Minuet                  Petzold            4:30
3.  Fur_elise               Beethoven          3:25
4.  Swan_Lake               Tchaikovsky        2:10
5.  The_Entertainer         Scott_Joplin       4:50
6.  Blue_Danube             Johann_Strauss     3:48
7.  Hungarian_Rhapsody      Franz_Listz        10:52
8.  Maple_leaf_rag          Scott_Joplin       3:50
9.  Hall_of_MountainKing    Edvard_Greig       2:05
10. Cannonball              Damien_Rice        3:44
11. Reverie                 Ruben_Wills        4:24
 
 
